"name","sentiment","score","text"
"Biden","neg","0.660839855670929","TRUMP. BIDEN. FAMINE."
"Biden","neg","0.8988909721374512","We worry about our freedoms when the political winds change. Will Joe Biden and the Democrats clamp down on Christian freedom and condemn Biblical doctrines as hate speech. Or will we be able to maintain our freedoms to worship."
"Biden","neg","0.9351083040237428","Bush was followed by BARRACK H. OBAMA, and Joe Biden. Seems evil reports follow Obama from the first."
"Biden","neg","0.7150078415870667","OK, ask your relatives to help you, I have my own problems. Ha, I remember Joe Biden gafe during an electoral meeting, asking a guy in wheel chair to stand up. Apply... church-sinner-insensitive speaker/pastor... I am sure that the crippled beggar knew about Jesus."
"Biden","neg","0.7233836650848389","BIDEN. TRUMP. NO JESUS IS LORD OF LORDS AND KING OF KINGS."
"Biden","neu","0.5240015387535095","Either God's people return to God w/ all our hearts, or God will judge our nation Henry Blackaby - Friend of mine I were talking about the election. Texted him: Either way Trump or Biden I believe judgment is coming, evil is going to continue to increase, the love of most will grow cold, 2 Tim 3 4 will become more more evident. I believe we've gone past the point of no return our kids grandkids are going to face unimaginable evil."
"Biden","neu","0.7572722434997559","We must rely on the grace of Christ to carry us through, and His sacramental presence and consolation. What if it gets worse as Biden and Harris have promised it would and lasts for four years or eight or the rest of our lives, God forbid. The Ephesus church also had a third attaboy from St."
"Biden","neu","0.659420907497406","Douglas K. Daniel, Biden calls paying higher taxes a patriotic act, Associated Press, September 18, 2008 In our culture, it seems to be a question of who gets tax relief the wealthy and big business or the middle class. Pledges to lower taxes are welcomed and promises to raise taxes not so much."
"Biden","neu","0.765226423740387","But for it to be right and wrong, we have to have a will, and we have to be able to choose between the two From ElightenNext Magazine, The God we believe in is the God of all peoples. Muslims worship Him, as do Jews and Mormons, as do Orthodox Christians, Catholics, and Protestants From the Obama/Biden page, Walter and NE Castings,A. Background to passage: this is the conclusion to Paul's message to the Areopagus on Mars Hill."
"Biden","neu","0.7886461019515991","What is Biden. 1 Cor 3:3-4 On Friday morning, President Trump announced that he and First Lady Melania Trump have tested positive for COVID-19. and was transferred to Walter Reed Military Medical Center."
"Biden","pos","0.668951153755188","someone is going to win. Either Biden or Trump. Someone will walk away a winner."
"Biden","pos","0.5286878347396851","Those who support a different candidate from us are not our enemies. Trump and Biden are not our enemies. Apostle Paul reminds us in Eph 6:12, For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms."
"Biden","pos","0.584679365158081","At one point, the interviewer spoke of how, under the economic proposals of his party, wealthier Americans would pay more taxes. Senator Biden defended the proposal saying, It's time to be patriotic time to jump in, time to be part of the deal, time to help get America out of the rut. Douglas K."
"Bill Clinton","neg","0.497240662574768","To show us that he knows our pain. Do you remember in the 1992 presidential election, Bill Clinton was known for saying, I feel your pain. This simple statement endured itself to millions of Americans who at the time believed that George Bush could not relate to the experiences of the average American."
"Bill Clinton","neg","0.7746102809906006","Do you remember in the 1992 presidential election, Bill Clinton was known for saying, I feel your pain. This simple statement endured itself to millions of Americans who at the time believed that George Bush could not relate to the experiences of the average American. Bush didn't even know the price of a gallon of milk after all."
"Bill Clinton","neg","0.6403380036354065","Some of the greatest leaders have fallen because ofit. Visions come to mind of some recent ones;Sadaam, of course,Richard Nixon declaring that he was not a crook Bill Clinton pointing his finger into the cameras and defending his honor about what he didn't do with that woman. From whence cometh power."
"Bill Clinton","neg","0.96867036819458","Many thought that he loved women and he and his wife Hillary had people killed. Bill Clinton's election was called dirty tactics. Then the 43 George W."
"Bill Clinton","neg","0.9656077027320862","Then we see William J. Bill Clinton. Many thought that he loved women and he and his wife Hillary had people killed."
"Bill Clinton","neu","0.81081622838974","I like to play golf. Hillary Clinton has been dealing with scandals concerning her husband for years. Bill Clinton has been publicly accused by several women of sexual misconduct."
"Bill Clinton","neu","0.7596357464790344","These politicians discovered as so many have that people vote their pocketbook. -Bill Clinton won the Presidency twice with the motto It's the economy stupid. -In George Bush's online Agenda for America the first three chapters of his agenda deal with money issues like tax cuts, better jobs, education help, health insurance, small business help."
"Bill Clinton","neu","0.6089078187942505","Bush didn't even know the price of a gallon of milk after all. It was no accident that Bill Clinton chose those words, for he knew that deep within us all, we desire to know that out there somewhere, there is someone who understands how we feel and what we are going through. Bill Clinton understood the power of shared suffering."
"Bill Clinton","neu","0.510998547077179","Those who lost start thinking about 2012; those who won wonderwhat in the world they've gotten themselves in-for. Bill Clinton talked about that; after an improbable victory in 1991. On inauguration day in January 1992 he is said to have been walking in the parade to the White House thinking, O-my-gosh."
"Bill Clinton","neu","0.9216155409812928","Either Noah and the people Paul is writing to defied Romans 3:23 or Perfection means something different from what we understandI guess it depends upon what the meaning of the word perfect is. CLIP Bill Clinton saying I guess it all depends on what the definition of what Is Is Today I want to help you to understand what the meaning of perfection isIt is used three different ways in the scripturesThe Perfection OF CHRIST and God The Perfection IN CHRISTThe Perfection LIKE CHRISTThe Perfection OF CHRIST and God We just tend to think of perfection in one way total sinlessnessAs it is applied to Jesus and God that is trueThe scriptures tell us that God is perfect and cannot be tempted to sinJesus, God in the flesh, could be tempted but was without sin. Jesus NEVER SINNED NO ONCE EVERThat is perfect moral perfectionIt belongs to or is true of Jesus and no one elseFor everyone else Romans tells the truth FOR ALL HAVE SINNED God does not expect you or me to have the absolute moral and sinless perfection which Jesus had because he told us it was impossible So there is the PERFECTION OF CHRIST a level of perfection to which you and I will not be heldNext there isThe Perfection IN CHRISTI want to use this donut to help you to understand the biblical concept of the PERFECTION IN CHRISTIs this Donut real."
"Bill Clinton","pos","0.9765481352806092","A good teacher inspires a thirst for learning that lasts a lifetime. Bill Clinton said that on August 5, 1993 during a ceremony honoring inductees into the teacher's Hall of Fame. Henry Brooks Adams said, Teachers affect eternity, they can never know the full range of their influence."
"Bush","neg","0.5832754969596863","Dr. Cain has pointed out the problem with President Bush visiting a Japanese shrine and acting out a ritual. As a Christian he no doubt considered his action merely an act of courtesy; even so, he participated in a religious rite giving honor to gods that do not exist and thus participating with the forces of Satan."
"Bush","neg","0.9351083040237428","Bush was followed by BARRACK H. OBAMA, and Joe Biden. Seems evil reports follow Obama from the first."
"Bush","neg","0.9240749478340148","Do you have certain expectations because of your authority, position or wealth. Trust me in this, when you, me, Bill Gates or President Bush die; we all get eaten by the same type of worms. 4."
"Bush","neg","0.9696049690246582","DISAPPOINTMENT1. Everyone hailed Barack Obama as the Savior from the problems of the Bush Admin. ; and now they hail Mitt Romney as the Savior from the problems of the Obama Administration."
"Bush","neg","0.9707175493240356","When their breath departs, they return to the earth; on that very day their plans perish. In the words of one of my colleagues from a blog post this week, Donald Trump and Hillary Clinton are not gods. And I might add that neither is Barack Obama, or the Bushes, or any others."
"Bush","neu","0.5769649147987366","But even so, a father does not call his son, my Lord, especially as one king to another king. I doubt, when he drops in for a visit, that former President Bush addresses his son as Mr. President."
"Bush","neu","0.805234968662262","mortgage market. When President Bush and others began to warn congress of an impending crisis, most congressmen ignored it, because Fannie Mae and Freddie Mac were financing 384 of their campaigns to the tune of 200 million over the last 20 years. Terry Jones, How A Clinton-Era Rule Rewrite Made Subprime Crisis Inevitable, Investor's Business Daily, Posted Wednesday, September 24, 2008, 4:30 PM PT Free money was available for the taking."
"Bush","neu","0.6378007531166077","-Bill Clinton won the Presidency twice with the motto It's the economy stupid. -In George Bush's online Agenda for America the first three chapters of his agenda deal with money issues like tax cuts, better jobs, education help, health insurance, small business help. Abortion, which I think is the 1 issue that Christ followers should be concerned about is not even mentioned as an issue until the 4th chapter."
"Bush","neu","0.7887147068977356","-One of the candidates answered with a very strong religious statement. It wasn't George Bush because he answered, I don't know -It was Senator John Kerry who said - We're all God's children, he said. And I think if you were to talk to Dick Cheney's daughter, who is a lesbian, she would tell you that she's being who she was."
"Bush","neu","0.9283815622329712","Thomas was pastor of Pilgrim Missionary Baptist Church, which saw its building in New Orleans flooded following Hurricane Katrina. The church did not have flood insurance and received a 252,000 federal disaster loan and a 35,000 grant from the Bush-Clinton Katrina fund. Prosecutors said Thomas deposited the 35,000 into a bank account he controlled, along with the initial 10,000 loan payment."
"Bush","pos","0.9690039157867432","I have always respected George Bush and prayed for his leadership of our country. And if and when Barack Obama is sworn is as president, I will show respect and pray for his leadership of our country as well. And I trust you will too."
"Bush","pos","0.5447101593017578","USA Today article: June 4th 2006 edition:A uniter, not a dividerWarren is no liberal. He backed President Bush in the 2004 election and opposes abortion and stem cell research. But in a refreshing change from today's unhealthy norm, Warren is spending his time and clout not on the divisive issues that have come to define the Christian right abortion, stem cell research, a supposedly anti-God judiciary and so on but on a campaign that can bring people together and save many lives in the process."
"Bush","pos","0.933276355266571","00 a weekWears good clothes, buys books regularly Has a nice family, drives a good car and gives 100 a week to the churchHe also stands ready to contribute to every good work that comes alongHe Is 26 years old and has been preaching for 30 yearsHe is tall and short, thin and heavy set, and handsomeHe has one brown eye and one blueHair parted in the middle, left side dark and straight, the right, brown and wavyHe has a burning desire to work with teenagers and spends all his time with older folkHe smiles all the time with a straight faceBecause he has a sense of humor that keeps him seriously dedicated to his workHe makes 15 calls a day on the church membersSpends all his time evangelizing the un-churchedAnd is never out of his office. Notice as we look closely at verse 6-9 how most of the qualifications involve characterNot knowledge or skillA person's lifestyle and relationships provide a window into his or her characterIt is important to have leaders who can effectively preach God's WordBut it is even more important to have leaders who can live out God's Word and be examples for others to followThat's a lot of pressure on me and my familyWe do answer to a higher authorityWe need to live lives of example for this churchAnd we are lousy at itAt least I amBeing a sinner, I cannot be a perfect exampleNo pastor canBut part of surrendering to the ministry is opening yourself up to scrutinyAnd placing your whole life on displayNot only to your church, but to the community as wellIt's a tough jobAnd I pray that we can live up to the taskBut we are to live a life of exampleHave you noticed a difference in the salute given by our military men and women as President Bush walks by. Most folks would not notice anything, but those who have served in the military see it right awayNext time just watch for thisAs President Bush leaves his helicopter or Air Force One, the honor guard will salute first facing the President as he disembarks, turning to face him as he passes by, and then turning again to salute the President's back as he walks awayThough it is a customary courtesy to the Commander-in-Chief, this kind of salute has not been seen for a long time."
